0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1.0,10.0,19.5,3.2060332746766846,140.25,8.0,17.5,29.0,19.5,35.0,8.0,11.84271928232701,140.25,3.0,0.038461538461538464,0.0,0.0,0.0,23.0341875,0.0,0.0,0.5,3.2975000000000003,5.15,7.414999999999999,5.562499999999999,8.9,3.05,2.452431191695294,6.014418750000001,2.55892909108546,3.2623424618591867,3.9094466454504126,3.2060332746766846,3.9325842696629216,2.366863905325444,0.7169495052115731,0.5140165930231195,3.3862709505164874,3.50561797752809,0.5140165930231195,4.0,6.0,78.0,13.0,24.0,0.0,4.0,10.0,0.0,22.25,0.9659554954998956
1.0,7.0,10.764705882352944,1.8037412798323813,53.94463667820068,4.0,11.0,14.0,10.764705882352944,25.0,2.0,7.344701265415816,53.9446366782007,2.0,0.01092896174863388,1.0,0.00546448087431694,0.0,102.5393125,0.0,0.0,0.5294117647058824,2.57,5.98,7.42,5.491176470588236,11.94,1.49,3.1266706261057062,9.77606920415225,1.5564202334630348,1.7915309446254073,2.0938023450586267,1.803741279832382,2.5806451612903225,1.1363636363636365,0.4227103636994742,0.17868405157894174,1.7846813630625813,1.96036422067488,0.17868405157894174,4.0,1.0,183.0,36.0,30.0,0.0,17.0,0.0,0.0,93.35,0.9103825423054204
1.0,11.0,14.8,3.9203768318320633,16.56,12.0,13.0,18.0,14.8,21.0,10.0,4.069397989875161,16.56,0.0,0.0,0.0,0.0,0.0,22.03575,0.0,0.0,0.4,2.97,3.69,4.71,3.784,5.12,2.43,1.014605341992639,1.029424,3.8216560509554136,4.04040404040404,4.1015625,3.9203768318320633,4.11522633744856,3.523035230352304,0.22486762676269387,0.0505654495658862,3.3581793222377274,3.911205073995772,0.0505654495658862,4.0,5.0,74.0,11.0,52.0,0.0,5.0,8.0,0.0,18.92,0.8586047672532136
1.0,11.0,28.5,2.034676929471193,0.25,28.25,28.5,28.75,28.5,29.0,28.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,30.16275,0.0,0.0,0.5,13.37,14.26,15.15,14.26,16.04,12.48,1.7799999999999994,3.1683999999999983,1.890156419847816,2.034676929471193,2.1791974390945708,2.034676929471193,2.3237179487179485,1.745635910224439,0.28904101924675474,0.08354471080720284,1.8897481164681598,1.9985974754558204,0.08354471080720284,4.0,0.0,57.0,6.0,13.0,0.0,2.0,3.0,0.0,28.52,0.9455371277486304
0.0,5.0,16.0,3.1263667494784864,113.2,9.0,10.0,25.0,16.0,32.0,4.0,10.639548862616307,113.2,1.0,0.0125,0.0,0.0,0.0,73.1893125,0.0,0.0,0.4,2.28,4.25,8.58,5.082000000000002,8.72,1.58,3.042317537667625,9.255696,2.531645569620253,2.86697247706422,3.7296037296037294,3.1263667494784864,4.385964912280701,2.117647058823529,0.8232832405161261,0.6777952941147336,1.0930557654848856,3.1483667847304213,0.6777952941147336,4.0,4.0,80.0,10.0,49.0,0.0,5.0,6.0,2.0,25.41,0.3471818375121368
0.0,5.0,5.5,1.9828903893342449,36.138888888888886,2.0,3.0,6.5,5.5,22.0,1.0,6.011562932290477,36.138888888888886,1.0,0.010101010101010102,0.0,0.0,0.05555555555555555,84.938625,0.0,0.0,0.2777777777777778,1.1949999999999998,1.55,2.4525,2.3538888888888887,7.37,1.07,1.8796841900492192,3.533212654320988,1.3363448146056842,1.971993833504625,2.692778457772338,1.9828903893342449,3.1645569620253164,0.8264462809917356,0.7912824844270931,0.6261279701611129,1.1655474761923683,2.3365588860042483,0.6261279701611128,4.0,5.0,99.0,10.0,69.0,2.0,18.0,10.0,5.0,42.37,0.4988307733966731
0.0,5.0,16.0,2.4929071396704034,209.75,3.5,14.0,23.0,16.0,45.0,1.0,14.482748357960238,209.75,1.0,0.0078125,0.0,0.0,0.0,50.9445625,0.0,0.0,0.5,1.4225,5.15,8.695,5.348750000000001,10.9,1.12,3.866899395833826,14.9529109375,2.1618037135278514,2.6201452429426126,2.8088077336197643,2.4929071396704034,4.128440366972477,0.8928571428571428,0.8744302160885832,0.7646282028087263,2.5125350718243973,2.9913531198878243,0.7646282028087262,4.0,3.0,128.0,20.0,78.0,0.0,8.0,10.0,7.0,42.79,0.8399326228387965
1.0,11.0,9.277777777777779,2.499811773456996,29.089506172839503,4.25,9.0,12.75,9.277777777777779,21.0,2.0,5.393468844152111,29.089506172839503,1.0,0.0059880239520958105,0.0,0.0,0.0,71.401375,0.0,0.0,0.4444444444444444,1.95,3.61,4.795,3.5027777777777778,6.49,1.36,1.562579084418363,2.4416533950617287,2.052160168598525,2.4683940629918597,3.0755130724683144,2.499811773456996,3.6734693877551017,1.2422360248447204,0.690704956763415,0.477073337297551,2.338890532570276,2.648691514670896,0.477073337297551,4.0,8.0,167.0,9.0,68.0,0.0,18.0,18.0,12.0,63.05,0.8830362160392569
1.0,10.0,10.75,2.6312475288818,51.8875,5.75,8.5,14.5,10.75,29.0,2.0,7.2032978558435286,51.8875,3.0,0.013953488372093023,0.0,0.0,0.0,90.5810625,0.0,0.0,0.35,2.3875,2.81,5.3125,3.9375,8.5,1.14,2.2924852780334266,5.25548875,2.0695993914807302,2.7097902097902096,3.042378241619228,2.6312475288818,3.71900826446281,1.2195121951219512,0.6491582769612796,0.42140646854733743,2.373564562681079,2.7301587301587302,0.4214064685473376,4.0,10.0,215.0,19.0,95.0,0.0,20.0,27.0,11.0,78.75,0.8693870200517906
1.0,11.0,6.645161290322582,3.2040400408190943,24.938605619146728,2.5,6.0,8.5,6.645161290322582,20.0,1.0,4.9938567880093165,24.938605619146728,2.0,0.009708737864077669,0.0,0.0,0.0,140.086,0.0,0.0,0.3870967741935484,1.165,1.64,2.46,1.9829032258064525,4.96,0.97,1.1100979135785858,1.2323173777315295,2.193718532725965,3.0769230769230766,4.115853658536585,3.2040400408190948,6.930693069306932,0.8849557522123894,1.4016921532543418,1.9647408924947931,1.4705252487757519,3.3512282414185783,1.964740892494793,4.0,7.0,206.0,19.0,94.0,3.0,31.0,39.0,10.0,61.47,0.4388018788458518
